iter	RMSE
0	0.3748273371
1	0.3622600118
2	0.351567248
3	0.3406226301
4	0.3301878615
5	0.3193315372
6	0.3092030556
7	0.3001828412
8	0.2908192555
9	0.2819024341
10	0.272598011	011	0.265051312	012	0.257602613	013	0.249766314	014	0.242258915	015	0.235457316	0.2234693193
17	0.21787302
18	0.2119206642
19	0.206514171
20	0.220	0.2086121	0.121	0.2026622	0.122	0.197623	0.1823	0.193024	0.1824	0.188525	0.1725	0.1840151866
26	0.1795718781
27	0.175596609
28	0.1716229	0.129	0.1677209691
30	0.1638297506
31	0.1600450778
32	0.15633	0.15033	0.153542835
34	0.150435	0.1435	0.147236	0.1436	0.144637	0.1337	0.1416012638
38	0.1388884429
39	0.13640	0.13140	0.13341	0.12941	0.13142	0.12742	0.12943	0.12543	0.12744	0.1244	0.124845	0.1245	0.122546	0.1146	0.120247	0.1147	0.1180860109
48	0.1162034386
49	0.1144106675
50	0.1124724502
51	0.1110132234
52	0.1093115426
53	0.1078892459
54	0.1065892644
55	0.104899075
56	0.1034949229
57	0.1019734083
58	0.1008403006
59	0.09962139778
60	0.09844047494
61	0.09714069408
62	0.09600550311
63	0.09521713922
64	0.09395833795
65	0.09279847163
66	0.0915872173
67	0.09077289648
68	0.08978027679
69	0.08898666134
70	0.08818957378
71	0.08710326178
72	0.08628339727
73	0.08550994518
74	0.08456216956
75	0.08379323933
76	0.08295056824
77	0.08220158268
78	0.0816141445
79	0.0808671177
80	0.08019622408
81	0.0796583686
82	0.079039887
83	0.07835659247
84	0.07752806156
85	0.0769632883
86	0.07643866188
87	0.07580620141
88	0.07525022922
89	0.07463352418
90	0.07406383749
91	0.07338169761
92	0.07287224923
93	0.07230147552
94	0.07177179713
95	0.07134790221
96	0.07076812094
97	0.07030198729
98	0.06984248001
99	0.06948655278
100	0.06913126028
101	0.06862579007
102	0.06811073945
103	0.06777960698
104	0.06725563896
105	0.06685832293
106	0.06657471286
107	0.06617016178
108	0.06572992909
109	0.06544558937
110	0.06500303513
111	0.06467362704
112	0.06425037294
113	0.06390775412
114	0.06361354473
115	0.06320982859
116	0.06295894155
117	0.06266104004
118	0.06234173643
119	0.06203326393
120	0.06165150091
121	0.06144444538
122	0.06099882926
123	0.0607696999
124	0.06051110247
125	0.06022682725
126	0.05998901785
127	0.05968968392
128	0.05944320832
129	0.05924944713
130	0.05908200415
131	0.05879918596
132	0.05836346329
133	0.05816827695
134	0.05790688404
135	0.05768295937
136	0.05746629977
137	0.05730671553
138	0.05707671201
139	0.05676278123
140	0.05659106068
141	0.05628729934
142	0.0560760398
143	0.05578819684
144	0.05552210072
145	0.0553183644
146	0.05515137843
147	0.05484758929
148	0.05467379547
149	0.05432795624
150	0.05413693293
151	0.0538458669
152	0.05364459173
153	0.05349330977
154	0.05328110184
155	0.05296731004
156	0.0527033366
157	0.05252891074
158	0.05235547879
159	0.0519377164
160	0.05174214729
161	0.0516222976
162	0.05143577611
163	0.05120004699
164	0.05098102445
165	0.05079915662
166	0.05039403568
167	0.05020136608
168	0.04999828187
169	0.04981929002
170	0.04964882233
171	0.04943505048
172	0.04933579445
173	0.04905089067
174	0.04880573139
175	0.04854650384
176	0.04841599105
177	0.04807927005
178	0.04797989625
179	0.04772771634
180	0.04750293049
181	0.04729350779
182	0.04697570527
183	0.04676066902
184	0.04644538745
185	0.04606842893
186	0.0458751876
187	0.04562352052
188	0.04544019474
189	0.04515736449
190	0.04490562775
191	0.04469252345
192	0.04438926748
193	0.04409471433
194	0.0439235043
195	0.04359612898
196	0.04341801096
197	0.04325360532
198	0.04307903926
199	0.04284297064
200	0.04261000417
201	0.0424825186
202	0.04229457021
203	0.04210364456
204	0.04194670425
205	0.04185089425
206	0.0416032172
207	0.04146054121
208	0.04135924899
209	0.04119586244
210	0.0408978137
211	0.04065596602
212	0.04043782649
213	0.04034902563
214	0.04013792871
215	0.04008469523
216	0.03982089354
217	0.03967325068
218	0.03956565081
219	0.0393645856
220	0.03930910529
221	0.03910439505
222	0.03894239645
223	0.03881126454
224	0.03868300998
225	0.03843430858
226	0.03824279811
227	0.03810860587
228	0.03796390658
229	0.03782802057
230	0.03764967773
231	0.03745299388
232	0.03726924041
233	0.03715016313
234	0.03696442372
235	0.03685695361
236	0.03671368611
237	0.03658316847
238	0.03641370895
239	0.03617299718
240	0.03604350926
241	0.03586881819
242	0.03578420031
243	0.03569185797
244	0.03560183147
245	0.03558132149
246	0.03541541971
247	0.03529959642
248	0.03519785186
249	0.03516954151
250	0.03503168266
251	0.03482458553
252	0.03460527868
253	0.03449245142
254	0.03447333681
255	0.03427590593
256	0.03413294619
257	0.03394678086
258	0.03377441892
259	0.03374748501
260	0.03372270993
261	0.03358857267
262	0.03340270547
263	0.03337837329
264	0.03322390642
265	0.03318071059
266	0.03302149592
267	0.03287785924
268	0.03270514531
